D100100
D100300
D100800
D101000
D101200
D101400
D101600
D101800
D101900
D102100
D102200
D102300
D102370
D102400
D102500
D102700
D102900
D103050
D103100
D103230
D103285
D103470
D103500
D103580
D103780
D103900
D104100
D104130
D104200
D104290
D104300
D104310
D104500
D104510
D104530
D105120
D105150
D105200
D105210
D105250
D105400
D105500
D105550
D105650
D105830
D106100
D106190
D106210
D106260
D106300
D106400
D106600
D107250
D107320
D107480
D107550
D107600
D107650
D107970
D108010
D108120
D108145
D108300
D108500
D108600
D108720
D108721
D108725
D108770
D108900
D108985
D109100
D109150
D109200
D109350
D109400
D109543
D109650
D109720
D109730
D109800
D110100
D112240
D112250
D112310
D112410
D112500
D112600
D113000
D113100
D113200
D113300
D113500
D113610
D113620
D113650
D113750
D113800
D113900
D113970
D114000
D114290
D114300
D114480
D114500
D114550
D114580
D114900
D115000
D115080
D115150
D115195
D115196
D115197
D115200
D115210
D115300
D115310
D115430
D115645
D115700
D116100
D116200
D116300
D116600
D116700
D116800
D116860
D116920
D117000
D117100
D117210
D117300
D117360
D117550
D117650
D118100
D118200
D118210
D118220
D118300
D118400
D118450
D118600
D118700
D118800
D119300
D119500
D119540
D119600
D119800
D119900
D120100
D120200
D120330
D120430
D120433
D120435
D120790
D120970
D121050
D121200
D121201
D121300
D121800
D121820
D121850
D121900
D122000
D122100
D122200
D122400
D122470
D122600
D122700
D122860
D122880
D123000
D123100
D123150
D123320
D123400
D123450
D123500
D123700
D123790
D124000
D124200
D124480
D124500
D124900
D125250
D125310
D125320
D125350
D125370
D125400
D125420
D125480
D125490
D125500
D125595
D125600
D125630
D125700
D125800
D125850
D125851
D125852
D125853
D126200
D126600
D126700
D126900
D127000
D127300
D127350
D127400
D127550
D127700
D127750
D128100
D128101
D128200
D128230
D128235
D129200
D129400
D129490
D129500
D129600
D130000
D130020
D130050
D130060
D130070
D130080
D130600
D130650
D130720
D130900
D131100
D131200
D131300
D131440
D131705
D131750
D131760
D131800
D131850
D131950
D131960
D132000
D132090
D132100
D132300
D132400
D132450
D132600
D132700
D132800
D132900
D133020
D133100
D133200
D133239
D133540
D133600
D133690
D133700
D133701
D133780
D134430
D134500
D134510
D134520
D134600
D134610
D134750
D135100
D135150
D135290
D135300
D135500
D135550
D135700
D135750
D135900
D136000
D136120
D136140
D136200
D136520
D136630
D136680
D136760
D136800
D136880
D136900
D137200
D137215
D137245
D137400
D137440
D137550
D137580
D137600
D137750
D137760
D137800
D137920
D137940
D138000
D138500
